Sort_Id,Category,Label,Internal,Type,SFDC2014obj,SalesForce,SFDC2015obj,SFDC2015field,Object,JIRA_field,JIRA_set_special,JIRA_direct,JIRA_description,Comments,lineitems,,,,,,,DeliveryPlan
310,,3,li[3].pricing_term,String,Opportunity,Line_Item_3_Pricing_Term__c,,,LineItem,customfield_12274,,,,,,,,,,,,
311,,3,li[3].product,String,Opportunity,Line_Item_3_Product__c,,,LineItem,customfield_12274,,,,,,,,,,,,
312,,3,li[3].secondary_optimization_goal,String,Opportunity,Line_Item_3_Secondary_Optimization_Goal__c,,,LineItem,customfield_12274,,,,,,,,,,,,
401,,4,li[4].add_on,String,Opportunity,Line_Item_4_Add_on__c,,,LineItem,customfield_12274,,,,,,,,,,,,
402,,4,li[4].amount,Decimal,Opportunity,LineItem4Amount__c,,,LineItem,customfield_12274,,,,,,,,,,,,
403,,4,li[4].bonus_impressions,Integer,Opportunity,Bonus_Impressions_Video__c,,,LineItem,customfield_12274,,,,,,,,,,,,
404,,4,li[4].cost,Decimal,Opportunity,Cost_Video__c,,,LineItem,customfield_12274,,,,,,,,,,,,
405,,4,li[4].flight_instructions,String,Opportunity,Flight_Instructions_Video__c,,,LineItem,customfield_12274,,,,,,,,,,,,
406,,4,li[4].goal,String,Opportunity,Goal_Video__c,,,LineItem,customfield_12274,,,,,,,,,,,,
407,,4,li[4].impressions,Integer,Opportunity,Impressions_Video__c,,,LineItem,customfield_12274,,,,,,,,,,,,
408,,4,li[4].io_line_item,String,Opportunity,IO_Line_Item_Video__c,,,LineItem,customfield_12274,,,,,,,,,,,,
409,,4,li[4].media_channel,String,Opportunity,LineItem4MediaChannel__c,,,LineItem,customfield_12274,,,,,,,,,,,,
410,,4,li[4].pricing_term,String,Opportunity,Line_Item_4_Pricing_Term__c,,,LineItem,customfield_12274,,,,,,,,,,,,
411,,4,li[4].product,String,Opportunity,Line_Item_4_Product__c,,,LineItem,customfield_12274,,,,,,,,,,,,
412,,4,li[4].secondary_optimization_goal,String,Opportunity,Line_Item_4_Secondary_Optimization_Goal__c,,,LineItem,customfield_12274,,,,,,,,,,,,
501,,5,,,Opportunity,,#N/A,,,,,,,Missing from SalesForce,,,,,,,,
502,,5,li[5].amount,Decimal,Opportunity,LineItem5Amount__c,,,LineItem,customfield_12274,,,,,,,,,,,,
503,,5,li[5].bonus_impressions,Integer,Opportunity,Bonus_Impressions_Social__c,,,LineItem,customfield_12274,,,,,,,,,,,,
504,,5,li[5].cost,Decimal,Opportunity,Cost_Social__c,,,LineItem,customfield_12274,,,,,,,,,,,,
505,,5,li[5].flight_instructions,String,Opportunity,Flight_Instructions_Social__c,,,LineItem,customfield_12274,,,,,,,,,,,,
506,,5,li[5].goal,String,Opportunity,Goal_Social__c,,,LineItem,customfield_12274,,,,,,,,,,,,
507,,5,li[5].impressions,Integer,Opportunity,Impressions_Social__c,,,LineItem,customfield_12274,,,,,,,,,,,,
508,,5,li[5].io_line_item,String,Opportunity,IO_Line_Item_Social__c,,,LineItem,customfield_12274,,,,,,,,,,,,
509,,5,li[5].media_channel,String,Opportunity,LineItem5MediaChannel__c,,,LineItem,customfield_12274,,,,,,,,,,,,
510,,5,li[5].pricing_term,String,Opportunity,Line_Item_5_Pricing_Term__c,,,LineItem,customfield_12274,,,,,,,,,,,,
511,,5,li[5].product,String,Opportunity,Line_Item_5_Product__c,,,LineItem,customfield_12274,,,,,,,,,,,,
512,,5,li[5].secondary_optimization_goal,String,Opportunity,Line_Item_5_Secondary_Optimization_Goal__c,,,LineItem,customfield_12274,,,,,,,,,,,,
601,,6,li[6].add_on,String,Opportunity,Line_Item_6_Add_on__c,,,LineItem,customfield_12274,,,,,,,,,,,,
602,,6,li[6].amount,Decimal,Opportunity,LineItem6Amount__c,,,LineItem,customfield_12274,,,,,,,,,,,,
603,,6,li[6].bonus_impressions,Integer,Opportunity,Bonus_Impressions_RTBO__c,,,LineItem,customfield_12274,,,,,,,,,,,,
604,,6,li[6].cost,Decimal,Opportunity,Cost_RTBO__c,,,LineItem,customfield_12274,,,,,,,,,,,,
605,,6,li[6].flight_instructions,String,Opportunity,Flight_Instructions_RTBO__c,,,LineItem,customfield_12274,,,,,,,,,,,,
606,,6,li[6].goal,String,Opportunity,Goal_RTBO__c,,,LineItem,customfield_12274,,,,,,,,,,,,
607,,6,li[6].impressions,Integer,Opportunity,Impressions_RTBO__c,,,LineItem,customfield_12274,,,,,,,,,,,,
608,,6,li[6].io_line_item,String,Opportunity,IO_Line_Item_RTBO__c,,,LineItem,customfield_12274,,,,,,,,,,,,
609,,6,li[6].media_channel,String,Opportunity,LineItem6MediaChannel__c,,,LineItem,customfield_12274,,,,,,,,,,,,
610,,6,li[6].pricing_term,String,Opportunity,Line_Item_6_Pricing_Term__c,,,LineItem,customfield_12274,,,,,,,,,,,,
611,,6,li[6].product,String,Opportunity,Line_Item_6_Product__c,,,LineItem,customfield_12274,,,,,,,,,,,,
612,,6,,,,,,,,,,,,Missing from SalesForce,,,,,,,,
999,,,tactics,String,,,,,,customfield_13360,,,,,,,,,,,,
